StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010460238\ProjectBase\Error11.java,"文ではありません",,,,,,,,,1422010460238,1422010466177,0:00:02,true,2,2,2,false
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010460238\ProjectBase\Error11.java,"';'がありません",,,,,,,,,1422010460238,1422010466177,0:00:02,true,2,2,2,false
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010466177\ProjectBase\Error11.java,"式の開始が不正です",,,,,,,,,1422010466177,1422010480783,0:00:01,true,4,4,1,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010466177\ProjectBase\Error11.java,"式の開始が不正です",,,,,,,,,1422010466177,1422010480783,0:00:01,true,4,4,1,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010466177\ProjectBase\Error11.java,"式の開始が不正です",,,,,,,,,1422010466177,1422010480783,0:00:01,true,4,4,1,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010466177\ProjectBase\Error11.java,"構文解析中にファイルの終わりに移りました",,,,,,,,,1422010466177,1422010480783,0:00:01,true,4,4,1,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010566492\ProjectBase\Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Turtle",クラス,"fd",メソッド,,,1422010566492,1422010611533,0:00:45,true,1,1,45,false
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010626656\ProjectBase\Error12.java,"Aに適切なメソッドが見つかりません",,,"split",メソッド,"(",型,,,1422010626656,1422010675893,0:00:49,true,1,1,49,false
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010675893\ProjectBase\Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Turtle",クラス,"rt",メソッド,,,1422010675893,1422010693493,0:00:10,true,1,1,10,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010723701\ProjectBase\Error12.java,"無効なメソッド宣言です。戻り値の型が必要です。",,,,,,,,,1422010723701,1422010729365,0:00:05,true,1,1,5,false
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010729365\ProjectBase\Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Error12",クラス,"hoge",メソッド,,,1422010729365,1422010742789,0:00:09,true,1,1,9,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010907566\ProjectBase\Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Error12",クラス,"hoge",メソッド,,,1422010907566,1422010912956,0:00:05,true,1,1,5,false
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010964860\ProjectBase\Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Error12",クラス,"hoge",メソッド,,,1422010964860,1422011009084,0:00:11,true,2,1,11,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422010964860\ProjectBase\Error12.java,"互換性のない型",,,,,,,,,1422010964860,1422010990394,0:00:25,true,2,1,25,false
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422011009084\ProjectBase\Error12.java,"シンボルを見つけられません","i",変数,,,,,,,1422011009084,1422011033756,0:00:20,true,1,1,20,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422011020895\ProjectBase\Error12.java,"互換性のない型",,,,,,,,,1422011020895,1422011348491,0:02:35,true,2,2,155,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422011033756\ProjectBase\Error12.java,"互換性のない型",,,,,,,,,1422011033756,1422011348491,0:02:35,true,2,2,155,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422011348491\ProjectBase\Error12.java,"Aに適切なメソッドが見つかりません",,,"add",メソッド,"(int",型,,,1422011348491,1422011364702,0:00:09,true,1,1,9,true
NA,NA,C:\Users\owner\ppv-201407071459\ppv.data\cash\20150124172056\ErrorTest\1422011569615\ProjectBase\Error14.java,"変数AはすでにメソッドBで定義されています",,,"a",変数,"start()",メソッド,,,1422011569615,1422011581386,0:00:11,true,1,1,11,false
