StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,Error11.java,"文ではありません",,,,,,,,,2015/01/23 19:54:20,2015/01/23 19:54:26,0:00:02,true,2,2,2,false
NA,NA,Error11.java,"';'がありません",,,,,,,,,2015/01/23 19:54:20,2015/01/23 19:54:26,0:00:02,true,2,2,2,false
NA,NA,Error11.java,"式の開始が不正です",,,,,,,,,2015/01/23 19:54:26,2015/01/23 19:54:40,0:00:01,true,4,4,1,true
NA,NA,Error11.java,"式の開始が不正です",,,,,,,,,2015/01/23 19:54:26,2015/01/23 19:54:40,0:00:01,true,4,4,1,true
NA,NA,Error11.java,"式の開始が不正です",,,,,,,,,2015/01/23 19:54:26,2015/01/23 19:54:40,0:00:01,true,4,4,1,true
NA,NA,Error11.java,"構文解析中にファイルの終わりに移りました",,,,,,,,,2015/01/23 19:54:26,2015/01/23 19:54:40,0:00:01,true,4,4,1,true
NA,NA,Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Turtle",クラス,"fd",メソッド,,,2015/01/23 19:56:06,2015/01/23 19:56:51,0:00:45,true,1,1,45,false
NA,NA,Error12.java,"Aに適切なメソッドが見つかりません",,,"split",メソッド,"(",型,,,2015/01/23 19:57:06,2015/01/23 19:57:55,0:00:49,true,1,1,49,false
NA,NA,Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Turtle",クラス,"rt",メソッド,,,2015/01/23 19:57:55,2015/01/23 19:58:13,0:00:10,true,1,1,10,true
NA,NA,Error12.java,"無効なメソッド宣言です。戻り値の型が必要です。",,,,,,,,,2015/01/23 19:58:43,2015/01/23 19:58:49,0:00:05,true,1,1,5,false
NA,NA,Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Error12",クラス,"hoge",メソッド,,,2015/01/23 19:58:49,2015/01/23 19:59:02,0:00:09,true,1,1,9,true
NA,NA,Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Error12",クラス,"hoge",メソッド,,,2015/01/23 20:01:47,2015/01/23 20:01:52,0:00:05,true,1,1,5,false
NA,NA,Error12.java,"クラスAのメソッドBは指定された型に適用できません。",,,"Error12",クラス,"hoge",メソッド,,,2015/01/23 20:02:44,2015/01/23 20:03:29,0:00:11,true,2,1,11,true
NA,NA,Error12.java,"互換性のない型",,,,,,,,,2015/01/23 20:02:44,2015/01/23 20:03:10,0:00:25,true,2,1,25,false
NA,NA,Error12.java,"シンボルを見つけられません","i",変数,,,,,,,2015/01/23 20:03:29,2015/01/23 20:03:53,0:00:20,true,1,1,20,true
NA,NA,Error12.java,"互換性のない型",,,,,,,,,2015/01/23 20:03:40,2015/01/23 20:09:08,0:02:35,true,2,2,155,true
NA,NA,Error12.java,"互換性のない型",,,,,,,,,2015/01/23 20:03:53,2015/01/23 20:09:08,0:02:35,true,2,2,155,true
NA,NA,Error12.java,"Aに適切なメソッドが見つかりません",,,"add",メソッド,"(int",型,,,2015/01/23 20:09:08,2015/01/23 20:09:24,0:00:09,true,1,1,9,true
NA,NA,Error14.java,"変数AはすでにメソッドBで定義されています",,,"a",変数,"start()",メソッド,,,2015/01/23 20:12:49,2015/01/23 20:13:01,0:00:11,true,1,1,11,false
NA,NA,Error14.java,"メソッドAはすでにクラスBで定義されています",,,"hoge()",メソッド,"Error14",クラス,,,2015/01/23 20:13:31,2015/01/23 20:14:09,0:00:00,true,1,0,0,false
NA,NA,Error17.java,"互換性のない型",,,,,,,,,2015/01/23 20:17:29,2015/01/23 20:18:16,0:00:46,true,1,1,46,false
NA,NA,Error17.java,"二項演算子Aのオペランド型が不正です",,,"%'",演算子,,,,,2015/01/23 20:18:16,2015/01/23 20:18:27,0:00:06,true,1,1,6,true
NA,NA,Error17.java,"単項演算子Aのオペランド型Bが不正です",,,"!'",演算子,"nt",型,,,2015/01/23 20:20:05,2015/01/23 20:20:13,0:00:07,true,1,1,7,false
NA,NA,Error17.java,"二項演算子Aのオペランド型が不正です",,,"%'",演算子,,,,,2015/01/23 20:21:41,2015/01/23 20:22:01,0:00:19,true,1,1,19,false
NA,NA,Error22.java,"精度が低下している可能性",,,,,,,,,2015/01/24 16:03:36,2015/01/24 16:03:49,0:00:12,true,1,1,12,false
NA,NA,Error22.java,"精度が低下している可能性",,,,,,,,,2015/01/24 16:03:55,2015/01/24 16:03:59,0:00:03,true,1,1,3,false
NA,NA,Error23.java,"文ではありません",,,,,,,,,2015/01/24 16:04:50,2015/01/24 16:05:43,0:00:26,true,2,2,26,false
NA,NA,Error23.java,"';'がありません",,,,,,,,,2015/01/24 16:04:50,2015/01/24 16:05:43,0:00:26,true,2,2,26,false
NA,NA,Error24.java,"<identifier>がありません",,,,,,,,,2015/01/24 16:07:00,2015/01/24 16:07:07,0:00:07,true,1,1,7,false
NA,NA,Error24.java,"AはBでprivateアクセスされます",,,"hoge",変数,"はHoge",クラス,,,2015/01/24 16:07:19,2015/01/24 16:07:26,0:00:06,true,1,1,6,false
NA,NA,Error24.java,"AはBでprivateアクセスされます",,,"hoge",変数,"はHoge",クラス,,,2015/01/24 16:07:48,2015/01/24 16:57:49,0:00:09,false,1,2,9,false
NA,NA,Error24.java,"修飾子privateをここで使用することはできません",,,,,,,,,2015/01/24 16:57:31,2015/01/24 16:57:49,0:00:09,true,2,2,9,false
NA,NA,Error25.java,"型Aは間接参照できません",,,"nt",型,,,,,2015/01/24 16:10:17,2015/01/24 16:10:21,0:00:03,true,1,1,3,false
NA,NA,Error26.java,"return文が指定されていません",,,,,,,,,2015/01/24 16:11:23,2015/01/24 16:11:30,0:00:07,true,1,1,7,false
NA,NA,Error27.java,"staticでないメソッドAをstaticコンテキストから参照することはできません",,,"start()",メソッド,,,,,2015/01/24 16:13:08,2015/01/24 16:13:19,0:00:10,true,1,1,10,false
NA,NA,Error28.java,"シンボルを見つけられません","Hoge",クラス,,,,,,,2015/01/24 16:14:25,2015/01/24 16:14:36,0:00:05,true,2,2,5,false
NA,NA,Error28.java,"シンボルを見つけられません","Hoge",クラス,,,,,,,2015/01/24 16:14:25,2015/01/24 16:14:36,0:00:05,true,2,2,5,false
NA,NA,Error28.java,"シンボルを見つけられません","Huga",クラス,,,,,,,2015/01/24 16:14:36,2015/01/24 16:14:44,0:00:04,true,2,2,4,false
