StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorManager,クラス,,,,,,,2013/09/25 20:26:32,2013/09/25 20:36:00,0:00:00,false,6,6,0,false
NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorManager,クラス,,,,,,,2013/09/25 20:26:32,2013/09/25 20:36:00,0:00:00,false,6,6,0,false
NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorKindLoader,クラス,,,,,,,2013/09/25 20:26:32,2013/09/25 20:36:00,0:00:00,false,6,6,0,false
NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorKindLoader,クラス,,,,,,,2013/09/25 20:26:32,2013/09/25 20:36:00,0:00:00,false,6,6,0,false
NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorMaker,クラス,,,,,,,2013/09/25 20:26:32,2013/09/25 20:36:00,0:00:00,false,6,6,0,false
NA,NA,CCConverterStart.java,シンボルを見つけられません,CCCompileErrorMaker,クラス,,,,,,,2013/09/25 20:26:32,2013/09/25 20:36:00,0:00:00,false,6,6,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.renderer.category,パッケージ,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.data.category,パッケージ,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,StandardChartTheme,変数,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,DefaultCategoryDataset,クラス,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,JFreeChart,クラス,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,PlotOrientation,変数,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartFactory,変数,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartColor,変数,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,CategoryPlot,クラス,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,LineAndShapeRenderer,クラス,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,LineAndShapeRenderer,クラス,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartColor,変数,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartPanel,クラス,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,シンボルを見つけられません,ChartPanel,クラス,,,,,,,2013/09/25 20:36:00,2013/09/25 20:36:08,0:00:00,false,23,23,0,false
NA,NA,CCConverterStart.java,<identifier>がありません,,,,,,,,,2013/09/25 20:36:08,2013/09/25 20:36:10,0:00:02,true,1,1,2,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:10,2013/09/26 13:28:20,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:10,2013/09/26 13:28:20,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:10,2013/09/26 13:28:20,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:10,2013/09/26 13:28:20,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart,パッケージ,,,,,2013/09/25 20:36:10,2013/09/26 13:28:20,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/09/25 20:36:10,2013/09/26 13:28:20,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.plot,パッケージ,,,,,2013/09/25 20:36:10,2013/09/26 13:28:20,0:00:00,false,23,23,0,false
NA,NA,CCGraphFrame.java,パッケージAは存在しません,,,rg.jfree.chart.renderer.category,パッケージ,,,,,2013/09/25 20:36:10,2013/09/26 13:28:20,0:00:00,false,23,23,0,false
