ErrorID,ÉtÉ@ÉCÉãÉpÉX,î≠ê∂éûçè,èCê≥äÆóπéûçè,èCê≥éûä‘
38,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386527626584/ProjectBase/Janken.java,1386527626584,1386527697534,70
20,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386527697534/ProjectBase/Janken.java,1386527697534,1386527713104,15
26,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386527697534/ProjectBase/Janken.java,1386527697534,1386527743265,30
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386527831643/ProjectBase/Janken.java,1386527831643,1386527934667,25
8,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386527831643/ProjectBase/Janken.java,1386527831643,1386527934667,25
4,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386527831643/ProjectBase/Janken.java,1386527831643,1386527934667,25
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386527831643/ProjectBase/Janken.java,1386527831643,1386527934667,25
18,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386528182139/ProjectBase/Janken.java,1386528182139,1386528572155,390
21,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386528572155/ProjectBase/Janken.java,1386528572155,1386528588706,4
8,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386528572155/ProjectBase/Janken.java,1386528572155,1386528588706,4
4,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386528572155/ProjectBase/Janken.java,1386528572155,1386528588706,4
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386528572155/ProjectBase/Janken.java,1386528572155,1386528588706,4
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386528588706/ProjectBase/Janken.java,1386528588706,1386528595676,6
4,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
35,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
10,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
21,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
4,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
6,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
4,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207499424,123
7,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207499424,123
3,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
3,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207252632/ProjectBase/Summation.java,1386207252632,1386207531107,2
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207531107/ProjectBase/Summation.java,1386207531107,1386207644513,10
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207531107/ProjectBase/Summation.java,1386207531107,1386207623570,73
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207531107/ProjectBase/Summation.java,1386207531107,1386207550148,19
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207531107/ProjectBase/Summation.java,1386207531107,1386207644513,10
4,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207644513/ProjectBase/Summation.java,1386207644513,1386207650639,3
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207644513/ProjectBase/Summation.java,1386207644513,1386207650639,3
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207650639/ProjectBase/Summation.java,1386207650639,1386207879574,87
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207650639/ProjectBase/Summation.java,1386207650639,1386207791970,141
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207879574/ProjectBase/Summation.java,1386207879574,1386207884853,5
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207884853/ProjectBase/Summation.java,1386207884853,1386207902440,17
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207902440/ProjectBase/Summation.java,1386207902440,1386207954641,41
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207902440/ProjectBase/Summation.java,1386207902440,1386207912691,10
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386207954641/ProjectBase/Summation.java,1386207954641,1386207961712,7
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386211418664/ProjectBase/Summation2.java,1386211418664,1386211429228,10
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386211429228/ProjectBase/Summation2.java,1386211429228,1386211486909,57
21,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386211486909/ProjectBase/Summation2.java,1386211486909,1386211509592,11
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386211486909/ProjectBase/Summation2.java,1386211486909,1386211509592,11
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386211509592/ProjectBase/Summation2.java,1386211509592,1386211526934,17
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386211509592/ProjectBase/Summation2.java,1386211509592,1386211540829,13
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386211815605/ProjectBase/Summation2.java,1386211815605,1386211827844,12
14,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386224962425/ProjectBase/Summation2.java,1386224962425,1386225013897,51
20,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386225013897/ProjectBase/Summation2.java,1386225013897,1386225029597,7
26,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386225013897/ProjectBase/Summation2.java,1386225013897,1386225029597,7
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386202552630/ProjectBase/WinningRate.java,1386202552630,1386202574422,10
5,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386202552630/ProjectBase/WinningRate.java,1386202552630,1386202574422,10
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386203765557/ProjectBase/WinningRate.java,1386203765557,1386204157761,6
8,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386203765557/ProjectBase/WinningRate.java,1386203765557,1386203816077,50
4,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386203765557/ProjectBase/WinningRate.java,1386203765557,1386204157761,6
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386203765557/ProjectBase/WinningRate.java,1386203765557,1386204157761,6
4,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386203816077/ProjectBase/WinningRate.java,1386203816077,1386204131917,157
2,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386203816077/ProjectBase/WinningRate.java,1386203816077,1386204131917,157
8,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386204131917/ProjectBase/WinningRate.java,1386204131917,1386204157761,6
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386204157761/ProjectBase/WinningRate.java,1386204157761,1386204204525,6
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386204157761/ProjectBase/WinningRate.java,1386204157761,1386204204525,6
1,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386204157761/ProjectBase/WinningRate.java,1386204157761,1386204204525,6
22,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386204157761/ProjectBase/WinningRate.java,1386204157761,1386204204525,6
22,C:/Users/student/Desktop/ppv-201401051833/ppv.data/cash/ia13015/ia13015-10/1386204157761/ProjectBase/WinningRate.java,1386204157761,1386204204525,6
