StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"クラスAのメソッドBは指定された型に適用できません。",,,"BMI2",クラス,"test",メソッド,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"変数AはすでにメソッドBで定義されています",,,"x",変数,"test(double,double)",メソッド,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"変数AはすでにメソッドBで定義されています",,,"y",変数,"test(double,double)",メソッド,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"シンボルを見つけられません","s",変数,,,,,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"シンボルを見つけられません","x",変数,,,,,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"シンボルを見つけられません","x",変数,,,,,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"シンボルを見つけられません","x",変数,,,,,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"シンボルを見つけられません","y",変数,,,,,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"シンボルを見つけられません","x",変数,,,,,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209127487\ProjectBase\BMI2.java,"精度が低下している可能性",,,,,,,,,1386209127487,1386209258400,0:00:13,true,10,10,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209258400\ProjectBase\BMI2.java,"<identifier>がありません",,,,,,,,,1386209258400,1386209266409,0:00:08,true,1,1,8,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,"クラスAのメソッドBは指定された型に適用できません。",,,"BMI2",クラス,"test",メソッド,,,1386209266409,1386209794405,0:00:58,true,9,9,58,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,"変数AはすでにメソッドBで定義されています",,,"x",変数,"test(double,double)",メソッド,,,1386209266409,1386209794405,0:00:58,true,9,9,58,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,"変数AはすでにメソッドBで定義されています",,,"y",変数,"test(double,double)",メソッド,,,1386209266409,1386209794405,0:00:58,true,9,9,58,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,"シンボルを見つけられません","s",変数,,,,,,,1386209266409,1386209794405,0:00:58,true,9,9,58,false
