StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891672587/ProjectBase/src/HistoryGame.java,"パッケージAは存在しません",,,"bpro.cui",パッケージ,,,,,2010/06/30 18:54:32,2010/06/30 19:19:40,0:04:21,false,2,8,261,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891672587/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Input",変数,,,,,,,2010/06/30 18:54:32,2010/06/30 19:19:40,0:04:21,false,2,8,261,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891826505/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","command",変数,,,,,,,2010/06/30 18:57:06,2010/06/30 18:57:18,0:00:04,false,6,1,4,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891826505/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","command",変数,,,,,,,2010/06/30 18:57:06,2010/06/30 18:57:14,0:00:02,false,6,3,2,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891826505/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","command",変数,,,,,,,2010/06/30 18:57:06,2010/06/30 18:57:14,0:00:02,false,6,3,2,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891826505/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","command",変数,,,,,,,2010/06/30 18:57:06,2010/06/30 18:57:14,0:00:02,false,6,3,2,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891944387/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Input",変数,,,,,,,2010/06/30 18:59:04,2010/06/30 19:19:40,0:02:11,false,4,8,131,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891944387/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Input",変数,,,,,,,2010/06/30 18:59:04,2010/06/30 19:19:40,0:02:11,false,4,8,131,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891989502/ProjectBase/src/HistoryGame.java,"変数AはすでにメソッドBで定義されています",,,"question",変数,"main()",メソッド,,,2010/06/30 18:59:49,2010/06/30 19:01:03,0:00:37,false,6,2,37,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277891989502/ProjectBase/src/HistoryGame.java,"変数AはすでにメソッドBで定義されています",,,"answer",変数,"main()",メソッド,,,2010/06/30 18:59:49,2010/06/30 19:01:03,0:00:37,false,6,2,37,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277892328469/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","play(java.util.ArrayList<java.lang.String>,java.util.ArrayList<java.lang.Integer>)",メソッド,,,,,,,2010/06/30 19:05:28,2010/06/30 19:06:23,0:00:55,false,5,1,55,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277892383936/ProjectBase/src/HistoryGame.java,"クラスAのメソッドBは指定された型に適用できません。",,,"HistoryGame",クラス,"play",メソッド,,,2010/06/30 19:06:23,2010/06/30 19:13:14,0:06:50,false,5,1,410,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277892465061/ProjectBase/src/HistoryGame.java,"パッケージAは存在しません",,,"bpro.cui",パッケージ,,,,,2010/06/30 19:07:45,2010/06/30 19:19:40,0:00:54,false,7,8,54,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277892465061/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Random",変数,,,,,,,2010/06/30 19:07:45,2010/06/30 19:19:40,0:00:54,false,7,8,54,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277892595234/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Input",変数,,,,,,,2010/06/30 19:09:55,2010/06/30 19:19:40,0:00:54,false,8,8,54,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277893120616/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Input",変数,,,,,,,2010/06/30 19:18:40,2010/06/30 19:19:40,0:00:07,false,8,8,7,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277893180682/ProjectBase/src/HistoryGame.java,"')'がありません",,,,,,,,,2010/06/30 19:19:40,2010/06/30 19:19:44,0:00:02,false,2,2,2,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277893180682/ProjectBase/src/HistoryGame.java,"')'がありません",,,,,,,,,2010/06/30 19:19:40,2010/06/30 19:19:44,0:00:02,false,2,2,2,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277893184901/ProjectBase/src/HistoryGame.java,"パッケージAは存在しません",,,"bpro.cui",パッケージ,,,,,2010/06/30 19:19:44,2010/06/30 19:30:36,0:00:00,false,8,0,0,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277893184901/ProjectBase/src/HistoryGame.java,"パッケージAは存在しません",,,"bpro.cui",パッケージ,,,,,2010/06/30 19:19:44,2010/06/30 19:30:36,0:00:00,false,8,0,0,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277893184901/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Input",変数,,,,,,,2010/06/30 19:19:44,2010/06/30 19:30:36,0:00:00,false,8,0,0,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277893184901/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Input",変数,,,,,,,2010/06/30 19:19:44,2010/06/30 19:30:36,0:00:00,false,8,0,0,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277893184901/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Input",変数,,,,,,,2010/06/30 19:19:44,2010/06/30 19:30:36,0:00:00,false,8,0,0,false
NA,NA,/Users/macchan/.ppvdata/ppv.data/cash/20130924170224/SampleEclipseProject/1277893184901/ProjectBase/src/HistoryGame.java,"シンボルを見つけられません","Random",変数,,,,,,,2010/06/30 19:19:44,2010/06/30 19:30:36,0:00:00,false,8,0,0,false
