1372425666441	Fri Jun 28 22:21:06 JST 2013	PROJECT_RECORD	START
1372425666445	Fri Jun 28 22:21:06 JST 2013	LOG	INFO	LoggingThread Start
1372425666953	Fri Jun 28 22:21:06 JST 2013	COMMAND_RECORD	UPDATED	A.java
1372425666432	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_RENAMED: Block 9: scanner with sockets: [Connector label: 初期値, Connector kind: object, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666493	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 1: (CUI)出力する with sockets: [Connector label: , Connector kind: string, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666493	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 3: (CUI)出力して改行する with sockets: [Connector label: , Connector kind: string, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666494	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 5: (CUI)0から1未満の乱数を作り、その値 with sockets: [] and plug: Connector label: , Connector kind: double-number, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666494	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 7: ハッシュ値を求める with sockets: [Connector label: , Connector kind: string, blockID: -1 with pos type: SINGLE] and plug: Connector label: , Connector kind: number, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666494	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 9: scanner with sockets: [Connector label: 初期値, Connector kind: object, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666495	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 11: 入力を受け取る(文字列型) with sockets: [] and plug: Connector label: , Connector kind: string, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666495	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 13: 入力を受け取る(int型) with sockets: [] and plug: Connector label: , Connector kind: number, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666496	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 15: 入力を受け取る(double型) with sockets: [] and plug: Connector label: , Connector kind: double-number, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666503	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_RENAMED: Block 17: XXをYYする。 with sockets: [Connector label: , Connector kind: cmd, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666523	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_RENAMED: Block 19: XXをする with sockets: [Connector label: , Connector kind: poly, blockID: -1 with pos type: SINGLE] and plug: null before: null after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666542	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_RENAMED: Block 21: 整数型引数 with sockets: [] and plug: Connector label: , Connector kind: number, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666551	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_RENAMED: Block 23: 実数型引数 with sockets: [] and plug: Connector label: , Connector kind: double-number, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666560	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_RENAMED: Block 25: 真偽型引数 with sockets: [] and plug: Connector label: , Connector kind: boolean, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666573	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_RENAMED: Block 27: 文字列型引数 with sockets: [] and plug: Connector label: , Connector kind: string, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666598	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 17: XXをYYする。 with sockets: [Connector label: , Connector kind: cmd, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666599	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 19: XXをする with sockets: [Connector label: , Connector kind: poly, blockID: -1 with pos type: SINGLE] and plug: null before: null after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666600	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 21: 整数型引数 with sockets: [] and plug: Connector label: , Connector kind: number, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666600	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 23: 実数型引数 with sockets: [] and plug: Connector label: , Connector kind: double-number, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666601	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 25: 真偽型引数 with sockets: [] and plug: Connector label: , Connector kind: boolean, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666601	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 27: 文字列型引数 with sockets: [] and plug: Connector label: , Connector kind: string, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666601	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 29: return with sockets: [Connector label: , Connector kind: poly, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: null)
1372425666655	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 31:  with sockets: [Connector label: が, Connector kind: object, blockID: -1 with pos type: SINGLE, Connector label: , Connector kind: cmd, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666656	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 33:  with sockets: [Connector label: の, Connector kind: object, blockID: -1 with pos type: SINGLE, Connector label: , Connector kind: poly, blockID: -1 with pos type: SINGLE] and plug: Connector label: , Connector kind: poly, blockID: -1 with pos type: SINGLE before: null after: null)
1372425666781	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 35: 分岐 with sockets: [Connector label: かどうか調べて, Connector kind: boolean, blockID: -1 with pos type: SINGLE, Connector label: 真のとき, Connector kind: cmd, blockID: -1 with pos type: SINGLE, Connector label: 偽のとき, Connector kind: cmd, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666782	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 37: 繰返 with sockets: [Connector label: かどうか調べて, Connector kind: boolean, blockID: -1 with pos type: SINGLE, Connector label: 真の間, Connector kind: cmd, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666782	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 39: 1回以上繰返 with sockets: [Connector label: 真の間, Connector kind: cmd, blockID: -1 with pos type: SINGLE, Connector label: かどうか調べて, Connector kind: boolean, blockID: -1 with pos type: SINGLE] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666783	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 41: 繰返脱出 with sockets: [] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425666783	Fri Jun 28 22:21:06 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 43: 繰返継続 with sockets: [] and plug: null before: Connector label: , Connector kind: cmd, blockID: -1 with pos type: TOP after: Connector label: , Connector kind: cmd, blockID: -1 with pos type: BOTTOM)
1372425667199	Fri Jun 28 22:21:07 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 45: 等しい with sockets: [Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM, Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM] and plug: Connector label: , Connector kind: boolean, blockID: -1 with pos type: MIRROR before: null after: null)
1372425667199	Fri Jun 28 22:21:07 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 47: 等しくない with sockets: [Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM, Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM] and plug: Connector label: , Connector kind: boolean, blockID: -1 with pos type: MIRROR before: null after: null)
1372425667200	Fri Jun 28 22:21:07 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 49: < with sockets: [Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM, Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM] and plug: Connector label: , Connector kind: boolean, blockID: -1 with pos type: MIRROR before: null after: null)
1372425667200	Fri Jun 28 22:21:07 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 51: > with sockets: [Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM, Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM] and plug: Connector label: , Connector kind: boolean, blockID: -1 with pos type: MIRROR before: null after: null)
1372425667201	Fri Jun 28 22:21:07 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 53: ≤ with sockets: [Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM, Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM] and plug: Connector label: , Connector kind: boolean, blockID: -1 with pos type: MIRROR before: null after: null)
1372425667201	Fri Jun 28 22:21:07 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 55: ≥ with sockets: [Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM, Connector label: , Connector kind: number, blockID: -1 with pos type: BOTTOM] and plug: Connector label: , Connector kind: boolean, blockID: -1 with pos type: MIRROR before: null after: null)
1372425667201	Fri Jun 28 22:21:07 JST 2013	BLOCK_COMMAND_RECORD	ANY	A.java	WorkspaceEvent(BLOCK_ADDED: Block 57: 等しい with sockets: [Connector label: , Connector kind: double-number, blockID: -1 with pos type: BOTTOM, Connector label: , Connector kind: double-number, blockID: -1 with pos type: BOTTOM] and plug: Connector label: , Connector kind: boolean, blockID: -1 with pos type: MIRROR before: null after: null)
